Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿165,17696.602901,1578.381246,4.933333,COLLISION_WITH_NavModifierVolume23,LAZY,25
﻿166,17354.478479,878.386124,4.433333,COLLISION_WITH_NavModifierVolume23,LAZY,28
﻿167,117235.236155,378.920528,7.716667,CORRECTINGWRONG,LAZY,30
﻿168,7295.039759,1043.810787,5.783333,COLLISION_WITH_BP_IntersectionBorder11,LAZY,26
﻿169,16921.98868,2279.573742,5.733333,COLLISION_WITH_NavModifierVolume12,LAZY,29
﻿170,77109.424374,-1276.026411,6.116667,COLLISION_WITH_NavModifierVolume50,LAZY,27
﻿171,58433.204009,-484.690512,6.516667,CORRECTINGWRONG,LAZY,29
﻿172,18816.617887,603.708786,4.466667,COLLISION_WITH_NavModifierVolume30,LAZY,31
﻿173,14089.13183,-2936.115529,5.433333,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿174,88289.408083,-2001.382316,5.433333,COLLISION_WITH_BP_IntersectionBorder27,LAZY,24
﻿175,18710.774308,776.343452,4.983333,COLLISION_WITH_NavModifierVolume30,LAZY,23
﻿176,4679.336598,390.929304,4.6,COLLISION_WITH_NavModifierVolume23,LAZY,26
﻿177,81528.105743,53.77773,6.816667,COLLISION_WITH_NavModifierVolume43,LAZY,30
﻿178,69321.999261,-3180.092732,5.433333,COLLISION_WITH_NavModifierVolume2,LAZY,27
﻿179,63443.898262,-2436.124383,6.1,COLLISION_WITH_NavModifierVolume2,LAZY,29
﻿180,50508.01538,1651.995167,6.066667,COLLISION_WITH_NavModifierVolume22,LAZY,24
﻿181,19859.167586,1139.268053,4.733333,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿182,19954.733531,-338.873155,5.35,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿183,16997.788522,401.850646,5.533333,COLLISION_WITH_NavModifierVolume23,LAZY,24
﻿184,67479.270205,1559.364778,6.733333,COLLISION_WITH_NavModifierVolume9,LAZY,27
﻿185,19338.503159,7.784946,4.366667,COLLISION_WITH_NavModifierVolume30,LAZY,23
﻿186,4522.030832,1423.349496,5.133333,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿187,16922.320963,-113.734324,4.766667,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿188,13431.640317,-113.699696,4.516667,CORRECTINGWRONG,LAZY,30
﻿189,19015.702734,-773.998224,6.866667,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿190,5504.539001,-887.329994,4.55,COLLISION_WITH_NavModifierVolume23,LAZY,25
﻿191,17533.307211,534.927769,5.283333,COLLISION_WITH_NavModifierVolume30,LAZY,34
