Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness
﻿1,BP_VehicleAI20,65227.063113,120,BP_SpawnPoint7,TIMEFINISHED,0.0,4125.149693,73677.468526,0.000213,47876.027929,10369.230225,13.804061,54.071166,1561.234951,73745.343754,0.0,0.0,7459.0,7459.0,true,28.049679,8.151413,16.374328,5.670629,0.0,393.0,611.469177,0.000816,0.0,4721.01674,1.993973,0.491812,0.0,0.0,1300.639041,1300.639041,1,2226.886578,0.0,393.0,0.0,0,0.0,0,0.0,621.879166,2,65227.063113
﻿1,BP_VehicleAI29,43810.899344,120,BP_SpawnPoint12,TIMEFINISHED,0.0,5891.871689,63908.994741,0.000266,41363.069844,10288.600737,14.887787,39.228262,5347.479021,63963.11079,53.527633,0.0,7401.0,7459.0,true,37.555072,19.353677,11.050511,16.882387,0.0,1145.0,2689.398773,0.003239,0.0,13842.231641,8.626933,0.001436,0.0,0.0,2130.361998,2130.361998,10,3175.616547,0.0,1072.0,73.0,0,0.0,0,0.0,3022.657491,6,43810.899344
﻿1,BP_VehicleAI212,48328.257597,120,BP_SpawnPoint49,TIMEFINISHED,0.0,7015.712548,66409.434805,0.000303,41048.600229,10269.138447,16.655573,43.198355,4822.388987,66469.288733,63.361657,0.0,7387.0,7459.0,true,37.22509,18.381509,10.973149,15.88856,0.0,1102.0,2358.337391,0.002889,0.0,10381.982587,9.369048,0.080224,0.0,0.0,1397.707103,1397.707103,13,3120.011306,0.0,1086.0,16.0,0,0.0,0,0.0,3144.023052,6,49604.489846
﻿1,BP_VehicleAI221,48446.027694,120,BP_SpawnPoint45,TIMEFINISHED,0.0,5305.963958,67948.189612,0.000245,41758.618304,10308.063027,14.247703,44.122615,6196.261621,68006.55993,50.492635,0.0,7415.0,7459.0,true,37.50866,20.410731,9.956379,18.281158,0.0,1243.0,2716.480964,0.00292,0.0,14788.428303,9.057338,0.775017,0.0,0.0,2533.728728,2533.728728,22,2994.287755,0.0,1243.0,0.0,0,0.0,0,0.0,2895.425076,6,48607.684231
﻿2,BP_VehicleAI225,-312.5601,2,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume10,54.452772,20.159695,1205.119732,0.000039,634.589145,126.504887,0.034604,0.521454,0.0,1205.675791,0.0,298.402302,91.0,91.0,true,1.523057,0.342248,0.063868,0.342248,0.001579,25.0,46.66797,0.0,0.0,750.084279,0.0,0.0,0.0,0.0,38.124058,38.124058,1,48.323403,25.0,0.0,0.0,0,0.0,0,0.0,348.468873,0,890.790929
﻿2,BP_VehicleAI241,-943.359648,3,BP_SpawnPoint47,TRAFFIC_VIOLATION,1495.35066,195.269646,807.205654,0.00018,804.486833,168.209795,0.200808,0.19041,0.0,807.596872,0.0,14.54036,121.0,121.0,true,1.9013,0.113866,0.325269,0.094884,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.428894,-4.428894,17,50.702078,3.0,0.0,0.0,19,-0.006813,0,-407.074482,45.795853,0,632.282681
﻿2,BP_VehicleAI238,197.205,4,BP_SpawnPoint5,COLLISION_WITH_BP_IntersectionBorder117,789.203821,637.775268,1622.696157,0.000886,634.799022,186.281921,0.844243,0.643689,0.0,1624.184089,0.0,0.0,134.0,134.0,true,2.075418,0.056529,0.576665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.196295,36.196295,14,54.445237,0.0,0.0,0.0,27,0.010996,1,-407.074482,0.0,0,1206.686192
﻿2,BP_VehicleAI246,-150.148999,5,BP_SpawnPoint29,LAZY,49.937304,0.0,-0.305025,0.0,1065.00529,218.255684,0.000456,0.0,0.0,-0.304569,0.0,0.0,157.0,157.0,true,0.0,1.279043,0.0,0.0,0.0,0.0,0.0,0.001748,149.842683,0.0,0.0,0.0,0.0,0.0,-129.819162,-129.819162,22,129.819162,0.0,0.0,0.0,384,0.261558,384,0.0,0.0,0,0.000021
﻿2,BP_VehicleAI245,-150.134592,5,BP_SpawnPoint31,LAZY,49.937303,0.0,-0.290766,0.000001,973.826316,218.255684,0.00077,0.0,0.0,-0.289997,0.0,0.0,157.0,157.0,true,0.0,4.120487,0.0,0.0,0.0,0.0,0.0,0.001748,149.842847,0.0,0.0,0.0,0.0,0.0,-81.816645,-81.816645,21,81.816645,0.0,0.0,0.0,384,0.247328,384,0.0,0.0,0,0.000004
﻿2,BP_VehicleAI248,-150.192317,5,BP_SpawnPoint28,LAZY,49.937304,0.0,-0.349046,0.000001,1075.641607,218.255684,0.001351,0.0,0.0,-0.347694,0.0,0.0,157.0,157.0,true,0.0,1.118104,0.0,0.0,0.0,0.0,0.0,0.001748,149.842874,0.0,0.0,0.0,0.0,0.0,90.035282,90.035282,24,90.035282,0.0,0.0,0.0,384,0.245696,384,0.0,0.0,0,0.000089
