Generation BestFit MeanFit BestFitMA MeanFitMA
80 -324.968047 22560.9405 -286.21393746666752 21987.021103866646
81 -286.439765 22933.886822 -287.74595730000078 22031.579390333314
82 -260.212959 20495.922897 -279.92315363333415 21995.775008133314
83 10498.347347 21282.584898 82.241452699999229 22109.469108699981
84 83381.575853 23297.603223 2869.3531499333326 22059.213042066647
85 3620.84194 20385.689265 3000.784119899999 22119.480072266648
86 3479.579567 20552.788476 3127.6329896999987 21927.478458266647
87 85635.015499 25487.392786 5987.0211047666653 21985.690714133314
88 3560.876838 25894.771482 6117.2628816999977 22121.455402866646
89 3578.613113 23044.032866 6245.7159311666646 22166.07345633331
90 3554.656987 27818.245702 6370.4052875333309 22348.869303433308
91 3694.772722 21920.138188 6504.0694048999976 22481.847947199978
92 3637.915023 26252.88741 6634.2480693999978 22595.644443999976
93 3581.016096 14034.821025 6763.6380451999985 22214.865685566641
94 95171.574275 27624.906812 9943.1369239999967 22338.303340966642
95 97273.915155 23910.989015 13193.23627163333 22641.036271666642
96 3544.164864 24882.733586 13323.33259413333 22720.948501199975
97 10239.18377 28062.466681 13671.45709393333 22922.286737499977
98 98282.535748 26775.903113 16958.485000866662 23167.234971666643
99 90736.938637 23606.463851 19990.940236933333 23305.617424799977
100 10514.999255 18678.721297 20347.810550633334 23222.775047799973
101 3464.585348 21966.666896 20473.121747266669 23280.002667799974
102 107090.048401 19890.039483 24053.9211325 23204.713123466641
103 84549.769442 21541.934228 26880.223064566664 23250.356758533311
104 108048.911137 24866.40864 30491.16312883333 23178.55998423331
105 109048.034141 18382.276697 34137.221240166662 23127.194174499982
106 3547.84866 18355.177952 34262.722613733335 22901.686074333313
107 3660.469934 11355.150182 34395.603469533336 22447.380391599978
108 98702.244495 19951.179839 37696.3743093 22346.447231766644
109 102857.091089 17729.815511 41136.130152166668 22118.084644099978
110 105626.362768 17597.356488 44667.841179333329 21952.631843699975
111 10341.176511 16640.772123 45022.0950552 21742.861353733308
112 3527.607003 19290.746495 45148.3557206 21702.688806999977
113 3605.342103 13694.733196 44918.588879133335 21449.76041693331
114 108457.979991 20234.885105 45754.469017066665 21347.669812999975
115 3587.929241 15009.510105 45753.3719271 21168.463840999975
116 3606.157799 19988.748119 45757.5912015 21149.662495766643
117 112447.602664 17180.030326 46651.344107000004 20872.75041376664
118 10307.43042 19150.739994 46876.229226400006 20647.949364166638
119 103351.905817 17945.125931 50202.005649866667 20477.985799666636
120 10380.278022 15344.901633 50429.526351033339 20062.207664033303
121 107183.149265 17898.084735 53879.138902466664 19928.139215599975
122 11096.927395 16590.12527 54127.7726482 19606.047144266642
123 3600.413679 16368.63344 54128.419234299996 19683.840891433309
124 3685.528788 12301.051213 51078.884384733326 19173.045704799977
125 3555.541091 14421.008555 47954.938582599993 18856.713022799977
126 3591.788576 13966.567237 47956.526039666656 18492.840811166639
127 3533.221112 14203.557677 47732.993951066659 18030.877177699975
128 3496.557016 11195.535132 44573.461326666657 17511.531578333306
129 3582.567298 20731.532442 41668.315615366657 17415.700531366641
130 3627.927112 17124.594093 41438.746543933325 17363.896291233305
131 11141.586189 12521.9658 41694.646571966659 17049.072921366638
132 3576.286138 12106.878709 38244.187829866656 16789.634228899973
133 3586.85233 17071.810819 35545.42392613332 16640.630115266638
134 3494.870885 10172.337576 32060.289251066661 16150.827746466641
135 3533.492584 16923.822472 28543.137865833323 16102.212605633307
136 3597.927747 16860.005166 28544.807168733325 16052.37351276664
137 3593.490202 14108.084215 28542.574510999992 16144.137980533305
138 3651.165765 17137.797548 25374.205219999993 16050.358570833307
139 10594.445699 20605.470199 22298.783706999991 16146.213727099972
140 3553.46991 13250.75946 18896.353945066661 16001.327159499971
141 3643.493844 13134.451702 18673.09785616666 15884.449812133304
142 3626.806416 16032.133843 18676.404503266662 15775.829390399969
143 3613.592358 16909.80478 18676.679511766659 15882.998443199969
144 3494.518875 10798.91861 15177.897474566656 15568.466226699969
145 3636.93524 16887.248351 15179.531007866659 15631.057501566636
146 3629.396858 11641.605884 15180.305643166659 15352.819427066637
147 3617.54461 15207.789531 11552.637041366659 15287.078067233304
148 3605.131017 18200.382347 11329.22706126666 15255.399478999972
149 3573.399678 13557.209607 8003.2768566333261 15109.135601533306
150 43768.481968 17437.015515 9116.21698816666 15178.872730933304
151 3604.641528 11587.665727 5663.6000635999935 14968.525430666637
152 10952.60274 15388.454766 5658.78924176666 14928.46974719997
153 3540.182285 15715.28119 5656.7815286333262 14906.691338866636
154 3700.241334 10132.451006 5657.2719468333262 14834.40466529997
155 3628.011024 17187.251859 5659.6876112666605 14926.612775433303
156 3589.43184 16519.918873 5659.6090533999941 15011.724496633304
157 3548.032575 14858.169635 5660.102768833327 15033.544895233303
158 3681.892085 11693.404985 5666.28060446666 15050.14055699997
159 3628.687212 12862.922393 5667.8179349333259 14787.853555366635
160 3550.041858 14622.566699 5665.2217597999934 14704.452642233304
161 3523.276946 13338.450765 5411.27811836666 14731.668807733304
162 3687.362866 12142.20631 5414.98067596666 14732.846394433302
163 10850.955129 17691.660342 5657.1174359333272 14753.508045199969
164 10986.90525 13569.077788 5906.8519147666611 14866.732718933303
165 3553.579969 17976.136548 5907.5214942666616 14901.809854799967
166 3552.978871 14162.195109 5906.0231983999947 14811.882852899967
