Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1199,44414.710858,1798.122307,8.078431,COLLISION_WITH_NavModifierVolume8,LAZY,15,51
﻿1200,2615.789968,870.493691,6.529412,STOP_VIOLATION,LAZY,15,51
﻿1201,9101.337404,1730.992063,7.607843,STOP_VIOLATION,LAZY,32,51
﻿1202,58825.900257,2229.818654,10.803922,TIMEFINISHED,LAZY,29,51
﻿1203,6424.144147,836.590573,7.215686,STOP_VIOLATION,LAZY,29,51
﻿1204,4427.875979,814.833591,6.921569,STOP_VIOLATION,LAZY,24,51
﻿1205,5702.411404,736.264814,6.392157,COLLISION_WITH_NavModifierVolume21,LAZY,21,51
﻿1206,20668.173306,1495.326533,5.960784,COLLISION_WITH_NavModifierVolume53,LAZY,14,51
﻿1207,48388.944739,3163.289947,9.411765,COLLISION_WITH_NavModifierVolume19,LAZY,15,51
﻿1208,7850.31171,1193.698872,8.117647,LAZY,LAZY,23,51
﻿1209,8408.005739,1055.303232,6.627451,STOP_VIOLATION,LAZY,21,51
﻿1210,50083.268643,3934.840503,11.901961,COLLISION_WITH_NavModifierVolume53,LAZY,18,51
﻿1211,64392.079172,2369.152575,8.627451,COLLISION_WITH_NavModifierVolume54,LAZY,25,51
﻿1212,14490.993228,2559.912969,11.392157,STOP_VIOLATION,LAZY,20,51
﻿1213,6989.737579,1970.328053,9.823529,COLLISION_WITH_BP_IntersectionBorder123,LAZY,27,51
﻿1214,36635.522121,2500.791456,8.607843,COLLISION_WITH_BP_IntersectionBorder50,LAZY,23,51
﻿1215,37317.4861,1870.661839,7.921569,COLLISION_WITH_BP_IntersectionBorder19,LAZY,29,51
﻿1216,4278.48623,466.757005,6.117647,STOP_VIOLATION,LAZY,31,51
﻿1217,23731.888912,1725.90145,6.803922,COLLISION_WITH_NavModifierVolume53,LAZY,13,51
﻿1218,6489.457904,1903.931103,8.823529,LAZY,LAZY,26,51
﻿1219,10849.552263,2734.733646,11.411765,COLLISION_WITH_BP_IntersectionBorder221,LAZY,24,51
﻿1220,6888.376637,1698.03261,8.941176,STOP_VIOLATION,LAZY,15,51
﻿1221,14222.458346,2885.639629,8.54902,STOP_VIOLATION,LAZY,12,51
﻿1222,10359.964836,649.317953,6.568627,COLLISION_WITH_NavModifierVolume53,LAZY,26,51
﻿1223,5330.224787,572.032974,6.705882,STOP_VIOLATION,LAZY,24,51
﻿1224,6060.573151,1748.222484,8.254902,STOP_VIOLATION,LAZY,26,51
﻿1225,14495.412606,1163.203608,8.921569,LAZY,LAZY,24,51
﻿1226,11338.446288,1642.413786,8.156863,STOP_VIOLATION,LAZY,17,51
﻿1227,18455.617364,700.137574,6.490196,COLLISION_WITH_NavModifierVolume53,LAZY,29,51
﻿1228,10193.158628,1636.370846,8.294118,COLLISION_WITH_BP_IntersectionBorder147,LAZY,27,51
﻿1229,47488.640391,2070.951487,9.431373,COLLISION_WITH_BP_IntersectionBorder3,LAZY,25,51
﻿1230,60436.622209,4023.322291,11.372549,STOP_VIOLATION,LAZY,15,51
﻿1231,5241.515511,1743.454047,8.823529,STOP_VIOLATION,LAZY,20,51
﻿1232,3903.011636,1397.09416,6.803922,STOP_VIOLATION,LAZY,24,51
﻿1233,4529.93344,1231.590091,6.588235,COLLISION_WITH_NavModifierVolume54,LAZY,18,51
﻿1234,8807.351871,1226.438336,8.176471,STOP_VIOLATION,LAZY,19,51
﻿1235,52883.532817,1995.881066,8.313725,COLLISION_WITH_NavModifierVolume21,LAZY,28,51
﻿1236,54475.803855,2330.765085,10.529412,LAZY,LAZY,21,51
﻿1237,5350.02827,857.153529,6.647059,STOP_VIOLATION,LAZY,24,51
﻿1238,2328.075396,1943.41269,9.411765,STOP_VIOLATION,LAZY,20,51
﻿1239,45506.843148,1833.797837,9.27451,COLLISION_WITH_BP_IntersectionBorder107,LAZY,24,51
﻿1240,15630.901016,2138.251203,8.568627,COLLISION_WITH_BP_IntersectionBorder213,LAZY,13,51
﻿1241,46806.73459,2759.761284,10.941176,TIMEFINISHED,LAZY,27,51
﻿1242,13678.838675,1827.855531,8.411765,STOP_VIOLATION,LAZY,29,51
﻿1243,3949.930493,214.780207,5.921569,STOP_VIOLATION,LAZY,26,51
﻿1244,37423.154403,1778.661086,9.72549,COLLISION_WITH_BP_IntersectionBorder203,LAZY,25,51
﻿1245,5310.053248,1792.019888,8.294118,STOP_VIOLATION,LAZY,12,51
