Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness,Acum_StopCompletionBonus,NumStopsCompleted,Acum_YieldCompletionBonus,NumYieldsCompleted,Acum_NavPenalty,NumRoundaboutsEntered,NumRoundaboutsCompleted,Acum_SpeedAtRoundaboutEntry,Acum_FrontObstAtRoundaboutEntry,Ticks_InRoundabout,Acum_SteeringInRoundabout,Acum_ThrottleInRoundabout,CollisionsInRoundabout,R_CurrentExitNumber,R_EntryDir_First,R_EntryDir_Second,R_EntryDir_Third,R_Exit1_Count,R_Exit2_Count,R_Exit3Plus_Count,R_Exit1_Deaths,R_Exit2_Deaths,R_Exit3Plus_Deaths,R_Exit1_Steering,R_Exit2_Steering,R_Exit3Plus_Steering,R_Exit1_Ticks,R_Exit2_Ticks,R_Exit3Plus_Ticks,R_Exit1_Throttle,R_Exit2_Throttle,R_Exit3Plus_Throttle,Acum_RoundaboutBonus,Acum_RndCompletionBonus,Acum_RndEntryPenalty,Acum_RndThrottlePenalty,Acum_AlignmentPenalty,NumCarOverlaps
﻿1,BP_VehicleAI223,31394.164439,54,BP_SpawnPoint49,COLLISION_WITH_NavModifierVolume36,428.374869,2921.079612,26163.671735,19.126485,181.012239,26182.79822,0.0,0.0,1933.0,1933.0,true,14.641991,3.082313,5.764275,2.222386,0.0,196.0,62.822212,0.000004,0.0,1.446332,1.051617,0.567553,0.0,0.0,405.064979,405.064979,24,684.754095,0.0,164.0,32.0,0,0.0,0,435934.118473,74.094404,1,32074.213887,6000.0,1,2518.17169,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275,1
﻿1,BP_VehicleAI20,26535.275875,58,BP_SpawnPoint35,STOP_VIOLATION,0.0,1988.316795,25708.747982,18.465413,304.017361,25727.213395,254.898454,0.0,2103.0,2134.0,true,15.134985,6.686165,5.755041,5.910789,0.0,387.0,201.451583,0.000152,0.0,3.43846,3.201986,0.010246,0.0,3.9,630.422107,630.422107,1,959.938761,0.0,225.0,162.0,0,0.0,0,435934.118473,153.162002,3,26582.21205,0.0,0,3637.423142,3,532.109366,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001211,0
﻿1,BP_VehicleAI221,40433.89529,61,BP_SpawnPoint12,STOP_VIOLATION,0.0,2883.979315,33932.240471,25.720567,51.977333,33957.961037,0.0,0.0,2334.0,2334.0,true,16.585037,6.390503,5.29952,5.182826,0.023741,420.0,623.47098,0.000367,0.0,6.693374,1.54579,0.0,0.0,3.8,470.537307,470.537307,22,873.001987,0.0,403.0,17.0,0,0.0,0,435934.118473,390.028216,2,41206.051997,6000.0,1,1516.122553,2,0.0,1,1,1122.658615,1.95324,589,33.834038,175.276921,0,1,1,0,1,2,1,0,0,0,0,209.20504,51.496147,0.0,489.0,100.0,0.0,150.447844,24.829077,0.0,2812.008299,2812.008299,0.0,0.0,0.001681,0
﻿1,BP_VehicleAI216,31005.715563,67,BP_SpawnPoint10,STOP_VIOLATION,0.0,2982.435574,30382.482781,21.266963,50.115498,30403.749744,45.66458,0.0,2638.0,2668.0,true,17.890646,5.600108,7.724914,4.441465,0.0,345.0,199.224468,0.000102,0.0,2.713459,2.220586,0.021705,0.0,3.9,683.276467,683.276467,17,1110.330292,0.0,249.0,96.0,0,0.0,0,435934.118473,137.403857,3,31050.608347,0.0,0,4824.296642,4,905.003343,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000936,1
﻿1,BP_VehicleAI210,46552.493072,78,BP_SpawnPoint22,STOP_VIOLATION,0.0,2831.148513,46397.889147,36.150502,137.479153,46434.039649,0.0,0.0,3411.0,3411.0,true,18.502418,8.684342,10.916385,7.702135,0.0,403.0,558.946917,0.000449,0.0,7.528493,0.95413,0.0,0.0,3.8,531.69218,531.69218,11,1118.16572,0.0,257.0,146.0,0,0.0,0,435934.118473,395.557106,2,47326.558997,0.0,0,3774.157478,3,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00173,0
﻿1,BP_VehicleAI29,53765.664772,95,BP_SpawnPoint58,STOP_VIOLATION,0.0,3766.786979,51888.694136,38.911885,0.0,51927.606021,106.55733,0.0,4501.0,4554.0,true,23.084326,4.758631,13.35281,3.131248,0.0,351.0,203.86557,0.000106,0.0,1.867437,3.47243,0.49055,0.0,3.9,1017.045899,1017.045899,10,1675.601577,0.0,278.0,73.0,0,0.0,0,435934.118473,128.331339,5,53811.626925,0.0,0,6045.468266,5,0.0,1,0,871.193665,1.0,235,78.759914,53.932113,0,1,1,0,0,1,0,0,0,0,0,112.913209,0.0,0.0,235.0,0.0,0.0,53.932113,0.0,0.0,0.0,0.0,0.0,0.0,0.000755,0
﻿1,BP_VehicleAI27,61119.239398,115,BP_SpawnPoint41,STOP_VIOLATION,0.0,3593.433507,60978.131569,45.844176,0.0,61023.975745,133.83941,0.0,5926.0,5994.0,true,25.947776,4.998336,16.894011,3.008756,0.0,340.0,204.984101,0.000085,0.0,2.02898,1.167357,0.0,0.0,3.9,958.054384,958.054384,8,2033.989059,0.0,272.0,68.0,0,0.0,0,435934.118473,114.96801,3,61166.644119,0.0,0,5363.043932,5,1218.525591,1,0,910.300781,1.0,624,33.234922,129.436717,0,2,0,1,0,1,1,0,0,0,0,173.320479,155.663689,0.0,408.0,216.0,0.0,81.030412,48.406305,0.0,0.0,0.0,0.0,0.0,0.000595,0
﻿1,BP_VehicleAI26,79945.268294,128,BP_SpawnPoint2,COLLISION_WITH_NavModifierVolume36,441.442164,6477.849832,65750.38264,49.82733,290.218332,65800.209969,0.0,0.0,6960.0,6960.0,true,32.627527,8.484221,18.233632,5.766703,0.0,716.0,173.941249,0.000092,0.0,0.340813,3.623754,0.6888,0.0,0.0,1603.232184,1603.232184,7,2519.543812,0.0,663.0,53.0,0,0.0,0,435934.118473,98.163153,3,80579.624084,18000.0,3,3046.577683,3,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000388,2
﻿1,BP_VehicleAI213,83321.01527,133,BP_SpawnPoint40,STOP_VIOLATION,0.0,6440.356331,72547.960742,55.484684,95.12227,72603.445426,0.0,0.0,7387.0,7387.0,true,32.84586,10.642657,17.697391,8.657289,0.000051,783.0,682.833312,0.000759,0.0,7.565407,3.834862,0.935303,0.0,3.8,929.433559,929.433559,14,2622.38947,0.0,686.0,97.0,0,0.0,0,435934.118473,471.950251,5,84097.554888,12000.0,2,6225.155607,6,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001973,0
﻿1,BP_VehicleAI230,140290.75438,253,BP_SpawnPoint52,STOP_VIOLATION,0.0,10233.039552,136305.481766,101.273343,146.21697,136406.755109,95.517455,0.0,17137.0,17194.0,true,60.376544,11.393691,33.903467,6.548329,0.0,646.0,201.441134,0.000118,0.0,3.230483,5.185406,0.283052,0.0,3.9,3316.641613,3316.641613,31,6012.617313,0.0,306.0,340.0,0,0.0,0,435934.118473,251.177419,8,140336.501073,0.0,0,15860.82033,13,1338.629608,1,0,910.051636,1.0,644,27.239555,137.267023,0,2,0,1,0,1,1,0,0,0,0,176.327769,161.99046,0.0,416.0,228.0,0.0,85.593123,51.673901,0.0,0.0,0.0,0.0,0.0,0.002261,0
